,from_node,to_node,edge_tt,edge_var,distance
,134572.0,134573.0,3.84,0.0,40.17
,134574.0,134575.0,14.08,0.0,110.5
,134602.0,134603.0,2.63,0.0,36.64
,134604.0,134605.0,4.58,0.0,63.99
,134606.0,134607.0,17.78,0.0,248.4
,134608.0,134609.0,2.58,0.0,36.24
,134610.0,134611.0,3.7,0.0,48.29
,134626.0,134627.0,5.12,0.0,42.98
,134628.0,134629.0,6.5,0.0,83.93
,134630.0,134631.0,6.48,0.0,83.26
,134632.0,134633.0,3.67,0.0,34.86
,134634.0,134635.0,14.94,0.0,162.23
,134636.0,134637.0,33.13,0.0,166.93
,134638.0,134639.0,6.33,0.0,78.21
,134640.0,134641.0,13.45,0.0,163.15
,134648.0,134649.0,1.22,0.0,15.05
,134652.0,134653.0,5.07,0.0,53.19
,134656.0,134657.0,9.75,0.0,110.26
,134690.0,134691.0,3.32,0.0,39.9
,134692.0,134693.0,9.68,0.0,114.47
,134694.0,134695.0,6.66,0.0,84.6
,134696.0,134697.0,12.85,0.0,164.63
,134702.0,134703.0,8.75,0.0,104.79
,134704.0,134705.0,2.06,0.0,21.92
,134706.0,134707.0,7.45,0.0,88.75
,134708.0,134709.0,8.08,0.0,96.56
,134710.0,134711.0,11.34,0.0,111.46
,134712.0,134713.0,9.5,0.0,109.54
,134714.0,134715.0,13.75,0.0,165.07
,134716.0,134717.0,20.45,0.0,207.56
,134718.0,134719.0,11.73,0.0,131.26
,134720.0,134721.0,3.44,0.0,38.05
,134722.0,134723.0,18.88,0.0,216.85
,134730.0,134731.0,41.9,0.0,504.11
,134734.0,134735.0,22.16,0.0,280.46
,134736.0,134737.0,9.43,0.0,121.21
,134738.0,134739.0,1.79,0.0,24.05
,134742.0,134743.0,18.46,0.0,242.54
,134748.0,134749.0,51.38,0.0,18.76
,134750.0,134751.0,14.54,0.0,127.24
,134782.0,134783.0,16.89,0.0,130.56
,134784.0,134785.0,35.32,0.0,409.7
,134794.0,134795.0,5.62,0.0,71.84
,134802.0,134803.0,32.88,0.0,388.83
,134804.0,134805.0,7.61,0.0,81.51
,134806.0,134807.0,8.25,0.0,99.07
,134812.0,134813.0,6.01,0.0,45.91
,134832.0,134833.0,1.59,0.0,22.14
,134834.0,134835.0,1.69,0.0,24.33
,134836.0,134837.0,6.78,0.0,100.42
,134838.0,134839.0,14.4,0.0,117.55
,134840.0,134841.0,0.88,0.0,13.16
,134842.0,134843.0,2.99,0.0,38.59
,134844.0,134845.0,8.33,0.0,123.92
,134846.0,134847.0,12.9,0.0,100.31
,134848.0,134849.0,7.79,0.0,90.54
,134858.0,134859.0,6.01,0.0,79.73
,134862.0,134863.0,15.74,0.0,208.78
,134864.0,134865.0,14.99,0.0,199.03
,134866.0,134867.0,15.44,0.0,201.61
,134920.0,134921.0,2.59,0.0,20.21
,134924.0,134925.0,18.08,0.0,194.8
,134926.0,134927.0,13.75,0.0,105.85
,134928.0,134929.0,29.1,0.0,303.96
,134950.0,134951.0,26.11,0.0,344.1
,134952.0,134953.0,30.33,0.0,401.79
,134954.0,134955.0,1.5,0.0,12.06
,134976.0,134977.0,23.55,0.0,180.72
,134986.0,134987.0,1.3,0.0,17.33
,134988.0,134989.0,3.86,0.0,51.74
,134992.0,134993.0,7.9,0.0,91.85
,134994.0,134995.0,9.99,0.0,116.6
,134996.0,134997.0,8.12,0.0,102.26
,134998.0,134999.0,11.04,0.0,112.23
,135018.0,135019.0,4.23,0.0,52.55
,135020.0,135021.0,16.7,0.0,84.2
,135022.0,135023.0,11.23,0.0,87.51
,135024.0,135025.0,20.87,0.0,283.71
,135034.0,135035.0,21.58,0.0,183.62
,135036.0,135037.0,15.5,0.0,102.64
,135038.0,135039.0,10.49,0.0,68.92
,135048.0,135049.0,11.96,0.0,74.48
,135050.0,135051.0,8.86,0.0,64.47
,135054.0,135055.0,4.51,0.0,33.59
,135072.0,135073.0,30.34,0.0,206.65
,135088.0,135089.0,7.18,0.0,85.49
