from_node,to_node,edge_tt,distance,edge_var
2096.0,2097.0,19.2,160.48,0.0
2100.0,2101.0,12.82,172.01,0.0
2116.0,2117.0,2.35,32.66,0.0
2118.0,2119.0,6.12,85.99,0.0
2120.0,2121.0,6.81,85.61,0.0
2122.0,2123.0,16.74,223.9,0.0
2124.0,2125.0,19.34,272.03,0.0
2126.0,2127.0,12.17,95.96,0.0
2128.0,2129.0,18.3,148.85,0.0
2138.0,2139.0,39.29,538.89,0.0
2140.0,2141.0,7.47,6.34,0.0
2142.0,2143.0,31.9,254.2,0.0
2154.0,2155.0,10.63,71.54,0.0
2200.0,2201.0,3.8,31.43,0.0
2202.0,2203.0,33.12,275.54,0.0
2204.0,2205.0,23.52,193.8,0.0
2210.0,2211.0,30.23,251.24,0.0
2212.0,2213.0,3.43,25.88,0.0
2216.0,2217.0,8.58,63.31,0.0
2218.0,2219.0,13.94,113.96,0.0
2220.0,2221.0,5.03,38.05,0.0
2224.0,2225.0,7.93,94.98,0.0
2226.0,2227.0,3.78,46.46,0.0
2228.0,2229.0,4.02,30.38,0.0
2230.0,2231.0,16.42,201.25,0.0
2234.0,2235.0,12.15,103.41,0.0
2236.0,2237.0,9.18,78.56,0.0
2262.0,2263.0,14.33,90.1,0.0
2264.0,2265.0,10.25,80.61,0.0
2268.0,2269.0,6.96,51.38,0.0
2270.0,2271.0,27.51,170.41,0.0
2290.0,2291.0,16.84,118.21,0.0
2292.0,2293.0,2.69,19.37,0.0
2298.0,2299.0,7.58,95.37,0.0
2306.0,2307.0,13.51,270.06,0.0
2308.0,2309.0,8.94,181.52,0.0
2310.0,2311.0,9.73,175.46,0.0
2312.0,2313.0,6.58,99.82,0.0
2320.0,2321.0,26.86,205.25,0.0
2322.0,2323.0,11.15,93.9,0.0
2324.0,2325.0,12.14,76.89,0.0
2340.0,2341.0,10.07,128.73,0.0
2368.0,2369.0,19.82,269.07,0.0
2370.0,2371.0,2.48,24.2,0.0
2372.0,2373.0,1.2,9.51,0.0
2378.0,2379.0,38.2,297.71,0.0
2392.0,2393.0,21.05,149.38,0.0
2394.0,2395.0,10.93,75.33,0.0
2396.0,2397.0,16.37,200.71,0.0
2398.0,2399.0,16.81,124.91,0.0
2400.0,2401.0,8.67,63.76,0.0
2402.0,2403.0,7.56,52.68,0.0
2404.0,2405.0,11.2,80.08,0.0
2406.0,2407.0,11.16,80.92,0.0
2418.0,2419.0,12.54,160.74,0.0
2420.0,2421.0,13.35,171.41,0.0
2440.0,2441.0,24.41,167.01,0.0
2444.0,2445.0,2.02,21.9,0.0
2446.0,2447.0,1.2,16.1,0.0
2454.0,2455.0,41.58,318.91,0.0
2456.0,2457.0,22.91,200.15,0.0
2462.0,2463.0,0.5,5.61,0.0
2464.0,2465.0,1.88,16.23,0.0
2466.0,2467.0,20.26,248.42,0.0
2468.0,2469.0,7.89,83.48,0.0
2474.0,2475.0,12.51,153.9,0.0
2482.0,2483.0,22.89,177.18,0.0
2484.0,2485.0,33.29,257.88,0.0
2490.0,2491.0,21.35,175.25,0.0
2500.0,2501.0,15.07,109.38,0.0
2502.0,2503.0,10.4,76.33,0.0
2504.0,2505.0,22.48,45.95,0.0
2508.0,2509.0,23.98,160.08,0.0
2518.0,2519.0,78.22,656.83,0.0
2520.0,2521.0,34.28,250.81,0.0
2522.0,2523.0,19.19,157.56,0.0
2524.0,2525.0,6.26,51.69,0.0
2530.0,2531.0,8.92,95.36,0.0
2534.0,2535.0,6.54,53.62,0.0
2542.0,2543.0,5.32,63.38,0.0
2546.0,2547.0,25.88,215.19,0.0
2548.0,2549.0,35.07,280.7,0.0
2554.0,2555.0,13.77,240.63,0.0
