"simulation_index","MOD_demand_subset","fleet_size","network_name","vehtype","objective_function","evaluation_int_start","evaluation_int_end","random_seed","start_time","end_time","op_module","demand_base","op_init_veh_distribution","network_type","sim_env","sumo_t_update","sumo_fcd_vehicles","rerouting_sc","hybrid_router","p_ref","reliable_tt_det","f_det","reliable_tt_prob","k_quantile","sim_declined_rq","rtt_corr_add","Simulated?"
"55","0.8","8000","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","all",,"0","","0","","0","","pv_replacement","0","1"
"56","1","10000","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","all",,"0","","0","","0","","pv_replacement","0","1"
"57","0.02","200","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"58","0.05","500","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"59","0.1","1000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"60","0.2","2000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"61","0.4","4000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"62","0.6","6000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"63","0.8","8000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"64","1","10000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"65","0.02","200","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","all",,"0","","0","","0","","pv_replacement","0","1"
"66","0.05","500","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","all",,"0","","0","","0","","pv_replacement","0","1"
"67","0.1","1000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","all",,"0","","0","","0","","pv_replacement","0","1"
"68","0.2","2000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","all",,"0","","0","","0","","pv_replacement","0","1"
"69","0.4","4000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","all",,"0","","0","","0","","pv_replacement","0","1"
"70","0.6","6000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","all",,"0","","0","","0","","pv_replacement","0","1"
"71","0.8","8000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","all",,"0","","0","","0","","pv_replacement","0","1"
"72","1","10000","sumo_in","FP_pooling_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","all",,"0","","0","","0","","pv_replacement","0","1"
"73","0.02","200","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","60","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"74","0.05","500","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","60","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"75","0.1","1000","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","60","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"76","0.2","2000","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","60","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"77","0.4","4000","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","60","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"78","0.6","6000","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","60","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"79","0.8","8000","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","60","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"80","1","10000","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","60","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"81","0.02","200","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","120","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"82","0.05","500","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","120","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"83","0.1","1000","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","120","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
"84","0.2","2000","sumo_in","FP_hailing_vehtype","total_system_time","21600","28800","0","18000","32400","PoolingIRSOnly","sumo_in","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","120","op_0-pv_0.0",,"0","","0","","0","","pv_replacement","0","1"
