from_node,to_node,edge_tt,distance,edge_var
2.0,3.0,11.53,84.19,0.0
4.0,5.0,2.29,18.94,0.0
8.0,9.0,24.36,203.69,0.0
10.0,11.0,11.29,80.42,0.0
12.0,13.0,11.7,100.22,0.0
14.0,15.0,11.53,146.36,0.0
16.0,17.0,17.29,213.92,0.0
18.0,19.0,4.74,39.38,0.0
20.0,21.0,63.39,456.56,0.0
22.0,23.0,7.73,23.62,0.0
24.0,25.0,3.77,31.1,0.0
28.0,29.0,137.04,985.91,0.0
30.0,31.0,14.03,121.69,0.0
32.0,33.0,15.16,85.85,0.0
34.0,35.0,11.29,92.28,0.0
36.0,37.0,19.17,122.3,0.0
38.0,39.0,14.4,110.95,0.0
42.0,43.0,23.01,110.09,0.0
46.0,47.0,10.96,71.46,0.0
48.0,49.0,8.84,63.35,0.0
50.0,51.0,38.95,298.53,0.0
52.0,53.0,12.36,94.73,0.0
54.0,55.0,7.61,57.66,0.0
56.0,57.0,10.32,81.51,0.0
58.0,59.0,12.62,97.97,0.0
60.0,61.0,23.19,177.16,0.0
62.0,63.0,26.32,199.94,0.0
66.0,67.0,25.74,203.16,0.0
68.0,69.0,32.22,236.75,0.0
70.0,71.0,11.49,108.81,0.0
72.0,73.0,12.62,87.81,0.0
74.0,75.0,22.86,181.73,0.0
78.0,79.0,32.98,150.9,0.0
80.0,81.0,3.45,26.44,0.0
82.0,83.0,20.8,157.81,0.0
84.0,85.0,1.5,18.6,0.0
86.0,87.0,8.01,39.35,0.0
88.0,89.0,27.03,195.47,0.0
90.0,91.0,25.66,320.52,0.0
92.0,93.0,19.03,241.34,0.0
94.0,95.0,10.58,91.9,0.0
96.0,97.0,32.25,226.33,0.0
98.0,99.0,11.07,82.13,0.0
