,from_node,to_node,edge_tt
21548,14,15,9.075
21549,16,17,10.627
21550,98,99,7.57
21551,102,103,0.529
21552,104,105,1.153
21553,106,107,0.58
21554,108,109,5.612
21555,110,111,9.906
21556,112,113,4.923
21557,118,119,2.681
21558,120,121,2.07
21559,122,123,5.145
21560,124,125,2.618
21561,126,127,4.282
21562,160,161,6.181
21563,162,163,14.881
21564,164,165,5.032
21565,176,177,11.015
21566,190,191,0.334
21567,192,193,1.089
21568,194,195,4.933
21569,196,197,1.73
21570,200,201,8.444
21571,206,207,6.548
21572,220,221,37.883
21573,332,333,9.423
21574,334,335,0.294
21575,336,337,0.145
21576,592,593,8.676
21577,594,595,1.322
21578,596,597,3.79
21579,624,625,27.043
21580,628,629,29.618
21581,630,631,0.828
21582,632,633,0.276
21583,666,667,5.9
21584,712,713,0.036
21585,738,739,7.792
21586,740,741,1.5
21587,742,743,3.224
21588,748,749,17.59
21589,750,751,4.331
21590,868,869,0.637
21591,870,871,6.129
21592,872,873,1.78
21593,874,875,0.753
21594,876,877,5.654
21595,880,881,4.634
21596,1048,1049,1.194
21597,1050,1051,1.221
21598,1052,1053,2.886
21599,1054,1055,1.63
21600,1056,1057,1.302
21601,1216,1217,6.869
21602,1218,1219,3.004
21603,1220,1221,4.387
21604,1222,1223,6.535
21605,1224,1225,3.478
21606,1428,1429,17.019
21607,1430,1431,12.358
21608,1432,1433,5.812
21609,1434,1435,5.45
21610,1436,1437,5.259
21611,1438,1439,4.547
21612,1440,1441,4.188
21613,1442,1443,0.354
21614,1444,1445,1.385
21615,1500,1501,10.096
21616,1502,1503,2.838
21617,1598,1599,0.343
21618,1600,1601,5.233
21619,1602,1603,7.5
21620,1604,1605,0.759
21621,1606,1607,12.217
21622,1608,1609,8.777
21623,1610,1611,6.118
21624,1616,1617,6.479
21625,1620,1621,1.928
21626,1690,1691,0.739
21627,1694,1695,3.027
21628,1704,1705,22.558
21629,1706,1707,1.829
21630,1920,1921,5.646
21631,1922,1923,3.645
21632,1938,1939,8.624
21633,1940,1941,12.948
21634,1942,1943,4.588
21635,1944,1945,3.395
21636,1946,1947,1.17
21637,2016,2017,6.889
21638,2018,2019,3.257
21639,2020,2021,1.39
21640,2022,2023,5.499
21641,2024,2025,2.071
21642,2066,2067,3.578
21643,2068,2069,4.673
21644,2070,2071,4.012
21645,2072,2073,2.626
21646,2074,2075,3.986
21647,2076,2077,3.039
21648,2078,2079,7.223
21649,2090,2091,3.535
21650,2092,2093,2.972
21651,2148,2149,2.461
21652,2150,2151,50.275
21653,2152,2153,0.081
21654,2154,2155,0.16
21655,2156,2157,0.587
21656,2158,2159,1.495
21657,2164,2165,1.987
21658,2170,2171,4.336
21659,2172,2173,1.353
21660,2174,2175,1.451
21661,2176,2177,0.976
21662,2190,2191,3.332
21663,2192,2193,1.332
21664,2194,2195,0.74
21665,2196,2197,3.579
21666,2324,2325,0.01
21667,2326,2327,4.974
21668,2346,2347,28.252
21669,2348,2349,1.031
21670,2392,2393,6.357
21671,2394,2395,2.21
21672,2396,2397,14.743
21673,2466,2467,19.3
21674,2468,2469,1.51
21675,2470,2471,15.788
21676,2472,2473,1.746
21677,2556,2557,0.537
21678,2558,2559,2.937
21679,2560,2561,5.907
21680,2626,2627,8.347
21681,2628,2629,14.078
21682,2664,2665,5.737
21683,2666,2667,10.34
21684,2668,2669,1.249
21685,2670,2671,1.194
21686,2826,2827,4.465
21687,2828,2829,14.947
21688,2830,2831,4.733
21689,2832,2833,1.921
21690,2834,2835,0.018
21691,2836,2837,3.7
21692,2838,2839,0.445
21693,2840,2841,8.3
21694,2842,2843,2.366
21695,2844,2845,15.949
21696,2846,2847,0.44
21697,2848,2849,18.785
21698,2850,2851,6.245
21699,2852,2853,8.285
21700,2854,2855,7.173
21701,2856,2857,1.663
21702,2858,2859,6.742
21703,2912,2913,9.148
21704,2914,2915,0.954
21705,2916,2917,1.084
21706,2918,2919,0.23
21707,2920,2921,3.38
21708,2922,2923,0.022
21709,2926,2927,12.955
21710,2928,2929,12.575
21711,2930,2931,5.619
21712,2932,2933,10.307
21713,2934,2935,6.807
21714,2958,2959,9.025
21715,2960,2961,6.107
21716,2962,2963,1.632
21717,2964,2965,5.041
21718,3354,3355,1.425
21719,3366,3367,9.131
21720,3368,3369,15.083
21721,3396,3397,0.854
21722,3484,3485,6.137
21723,3486,3487,1.521
21724,3724,3725,53.906
21725,3726,3727,10.113
21726,3728,3729,3.923
21727,3730,3731,14.473
21728,3732,3733,1.55
21729,3734,3735,3.583
21730,3918,3919,6.517
21731,3920,3921,0.019
21732,3922,3923,0.021
21733,3924,3925,3.795
21734,4104,4105,3.847
21735,4116,4117,0.663
21736,4118,4119,8.383
21737,4120,4121,0.09
21738,4122,4123,1.723
21739,4124,4125,4.321
21740,4126,4127,3.914
21741,4128,4129,30.871
21742,4130,4131,1.854
21743,4132,4133,0.321
21744,4134,4135,0.57
21745,4136,4137,4.102
21746,4138,4139,1.501
21747,4140,4141,15.109
21748,4142,4143,1.778
21749,4144,4145,4.499
21750,4146,4147,2.587
21751,4148,4149,1.274
21752,4150,4151,0.916
21753,4152,4153,2.469
21754,4154,4155,1.602
21755,4156,4157,1.713
21756,4158,4159,7.431
21757,4160,4161,7.271
21758,4162,4163,1.923
21759,4164,4165,2.141
21760,4166,4167,1.741
21761,4168,4169,3.454
21762,4170,4171,8.774
21763,4172,4173,12.148
21764,4174,4175,9.981
21765,4216,4217,24.25
21766,4246,4247,3.727
21767,4248,4249,11.377
21768,4402,4403,18.646
21769,4490,4491,9.768
21770,4492,4493,3.302
21771,4494,4495,0.713
21772,4496,4497,1.66
21773,4498,4499,36.201
21774,4884,4885,3.121
21775,4926,4927,11.333
21776,4928,4929,3.859
21777,4992,4993,5.95
21778,4996,4997,0.626
21779,4998,4999,21.977
21780,5000,5001,8.945
21781,5006,5007,21.415
21782,5008,5009,2.71
21783,5010,5011,5.407
21784,5012,5013,0.251
21785,5014,5015,4.772
21786,5016,5017,4.427
21787,5018,5019,4.39
21788,5022,5023,0.667
21789,5024,5025,4.725
21790,5026,5027,4.917
21791,5032,5033,2.413
21792,5034,5035,4.624
21793,5036,5037,4.088
21794,5038,5039,7.117
21795,5040,5041,2.429
21796,5042,5043,2.842
21797,5044,5045,15.51
21798,5046,5047,3.756
21799,5048,5049,8.897
21800,5050,5051,2.536
21801,5052,5053,0.946
21802,5054,5055,1.683
21803,5056,5057,13.698
21804,5058,5059,1.635
21805,5060,5061,8.872
21806,5062,5063,1.791
21807,5064,5065,0.886
21808,5066,5067,11.379
21809,5068,5069,7.798
21810,5070,5071,13.779
21811,5072,5073,6.72
21812,5074,5075,9.526
21813,5076,5077,4.979
21814,5078,5079,7.608
21815,5102,5103,1.95
21816,5104,5105,3.296
21817,5106,5107,4.363
21818,5108,5109,5.421
21819,5110,5111,6.189
21820,5112,5113,9.152
21821,5114,5115,6.24
21822,5136,5137,1.422
21823,5138,5139,1.635
21824,5140,5141,2.411
21825,5158,5159,0.676
21826,5160,5161,0.35
21827,5162,5163,5.506
21828,5164,5165,7.703
21829,5166,5167,5.245
21830,5176,5177,1.689
21831,5178,5179,2.533
21832,5180,5181,0.101
21833,5182,5183,1.357
21834,5184,5185,6.874
21835,5186,5187,2.28
21836,5188,5189,9.434
21837,5190,5191,10.425
21838,5214,5215,19.484
21839,5216,5217,0.71
21840,5218,5219,5.771
21841,5354,5355,1.934
21842,5356,5357,4.123
21843,5358,5359,2.644
21844,5360,5361,3.191
21845,5362,5363,6.732
21846,5364,5365,1.37
21847,5366,5367,6.918
21848,5368,5369,5.314
21849,5370,5371,4.26
21850,5372,5373,0.979
21851,5382,5383,3.13
21852,5384,5385,0.017
21853,5386,5387,3.474
21854,5388,5389,6.364
21855,5390,5391,1.643
21856,5392,5393,4.803
21857,5394,5395,2.4
21858,5396,5397,2.521
21859,5398,5399,4.37
21860,5400,5401,4.307
21861,5402,5403,4.841
21862,5404,5405,3.473
21863,5406,5407,2.178
21864,5408,5409,1.32
21865,5410,5411,1.202
21866,5412,5413,6.56
21867,5414,5415,17.607
21868,5416,5417,8.539
21869,5418,5419,4.236
21870,5420,5421,5.754
21871,5422,5423,0.569
21872,5424,5425,0.595
21873,5426,5427,3.065
21874,5428,5429,34.866
21875,5430,5431,1.414
21876,5432,5433,6.555
21877,5434,5435,1.12
21878,5436,5437,0.818
21879,5438,5439,1.927
21880,5440,5441,4.741
21881,5442,5443,2.782
21882,5448,5449,11.934
21883,5454,5455,19.755
21884,5472,5473,2.759
21885,5476,5477,0.897
21886,5478,5479,0.401
21887,5480,5481,0.859
21888,5538,5539,5.405
21889,5540,5541,4.48
21890,5542,5543,2.534
21891,5544,5545,0.714
21892,5546,5547,6.708
21893,5554,5555,4.093
21894,5610,5611,13.768
21895,5612,5613,1.997
21896,5614,5615,3.205
21897,5616,5617,12.975
21898,5618,5619,13.389
21899,5620,5621,4.851
21900,5722,5723,10.939
21901,5724,5725,4.159
21902,5870,5871,0.688
21903,5872,5873,1.474
21904,5894,5895,3.144
21905,5896,5897,1.452
21906,5898,5899,13.215
21907,5900,5901,5.997
21908,5902,5903,7.402
21909,5904,5905,6.731
21910,5906,5907,3.796
21911,5908,5909,2.8
21912,5910,5911,1.622
21913,5912,5913,2.908
21914,6070,6071,1.037
21915,6072,6073,0.513
21916,6074,6075,6.182
21917,6076,6077,3.692
21918,6078,6079,7.397
21919,6160,6161,0.245
21920,6444,6445,8.899
21921,6446,6447,8.357
21922,6474,6475,3.237
21923,6476,6477,7.417
21924,6478,6479,6.098
21925,6480,6481,8.409
21926,6482,6483,5.332
21927,6484,6485,13.892
21928,6556,6557,25.491
21929,6558,6559,30.252
21930,6688,6689,0.311
21931,6690,6691,15.413
21932,7066,7067,7.479
21933,7076,7077,7.112
21934,7078,7079,6.352
21935,7080,7081,15.39
21936,7082,7083,3.391
21937,7184,7185,3.431
21938,7186,7187,1.941
21939,7188,7189,1.564
21940,7190,7191,1.241
21941,7192,7193,3.48
21942,7194,7195,1.022
21943,7196,7197,1.724
21944,7198,7199,2.717
21945,7200,7201,0.534
21946,7202,7203,2.286
21947,7204,7205,7.027
21948,7206,7207,2.216
21949,7208,7209,1.843
21950,7210,7211,0.493
21951,7212,7213,0.925
21952,7214,7215,1.908
21953,7216,7217,2.052
21954,7218,7219,5.103
21955,7220,7221,4.243
21956,7222,7223,2.692
21957,7224,7225,0.813
21958,7226,7227,0.665
21959,7228,7229,0.554
21960,7230,7231,0.976
21961,7232,7233,3.555
21962,7234,7235,5.677
21963,7236,7237,1.986
21964,7238,7239,3.685
21965,7240,7241,1.598
21966,7242,7243,4.227
21967,7244,7245,5.788
21968,7246,7247,2.612
21969,7248,7249,3.385
21970,7250,7251,7.646
21971,7252,7253,5.954
21972,7254,7255,6.578
21973,7256,7257,2.866
21974,7258,7259,0.446
21975,7260,7261,2.365
21976,7262,7263,1.842
21977,7264,7265,6.945
21978,7386,7387,0.236
21979,7388,7389,0.03
21980,7390,7391,2.751
21981,7392,7393,12.126
21982,7394,7395,2.419
21983,7396,7397,1.719
21984,7398,7399,4.007
21985,7400,7401,1.472
21986,7402,7403,3.088
21987,7582,7583,9.935
21988,7596,7597,20.068
21989,7636,7637,3.931
