from_node,to_node,edge_tt,distance,edge_var
12.0,13.0,9.26,100.22,0.0
14.0,15.0,11.25,146.36,0.0
20.0,21.0,66.62,456.56,0.0
22.0,23.0,6.64,23.62,0.0
24.0,25.0,3.82,31.1,0.0
26.0,27.0,5.24,31.96,0.0
30.0,31.0,15.54,121.69,0.0
32.0,33.0,17.39,85.85,0.0
34.0,35.0,12.99,92.28,0.0
36.0,37.0,22.73,122.3,0.0
38.0,39.0,14.81,110.95,0.0
48.0,49.0,7.35,63.35,0.0
50.0,51.0,37.62,298.53,0.0
58.0,59.0,12.99,97.97,0.0
60.0,61.0,23.09,177.16,0.0
62.0,63.0,27.06,199.94,0.0
70.0,71.0,7.51,108.81,0.0
80.0,81.0,3.8,26.44,0.0
84.0,85.0,2.33,18.6,0.0
86.0,87.0,5.22,39.35,0.0
94.0,95.0,8.19,91.9,0.0
96.0,97.0,28.45,226.33,0.0
98.0,99.0,10.33,82.13,0.0
104.0,105.0,192.1,1508.12,0.0
112.0,113.0,24.78,193.65,0.0
116.0,117.0,8.06,100.58,0.0
118.0,119.0,18.7,224.4,0.0
140.0,141.0,10.11,49.5,0.0
168.0,169.0,19.31,216.12,0.0
170.0,171.0,21.0,257.92,0.0
176.0,177.0,5.36,61.87,0.0
188.0,189.0,30.5,261.11,0.0
196.0,197.0,8.43,72.81,0.0
198.0,199.0,4.01,34.07,0.0
200.0,201.0,17.13,121.35,0.0
206.0,207.0,36.07,242.5,0.0
216.0,217.0,17.17,136.89,0.0
228.0,229.0,12.68,105.1,0.0
230.0,231.0,5.23,43.03,0.0
236.0,237.0,29.65,221.3,0.0
254.0,255.0,6.17,46.71,0.0
256.0,257.0,27.08,205.56,0.0
266.0,267.0,21.06,154.27,0.0
280.0,281.0,11.53,84.77,0.0
288.0,289.0,10.71,91.76,0.0
290.0,291.0,8.82,61.6,0.0
292.0,293.0,8.98,65.54,0.0
294.0,295.0,13.13,99.03,0.0
296.0,297.0,29.17,229.01,0.0
298.0,299.0,35.2,257.97,0.0
304.0,305.0,30.63,241.74,0.0
314.0,315.0,37.78,304.68,0.0
316.0,317.0,9.37,75.29,0.0
318.0,319.0,11.96,94.0,0.0
336.0,337.0,12.62,112.67,0.0
354.0,355.0,45.99,367.31,0.0
356.0,357.0,5.05,39.82,0.0
366.0,367.0,31.78,283.62,0.0
388.0,389.0,5.35,45.39,0.0
390.0,391.0,11.75,99.02,0.0
552.0,553.0,3.95,33.57,0.0
574.0,575.0,31.86,255.29,0.0
576.0,577.0,27.52,219.05,0.0
578.0,579.0,29.95,220.85,0.0
580.0,581.0,12.72,111.64,0.0
598.0,599.0,79.74,529.75,0.0
602.0,603.0,90.36,617.94,0.0
646.0,647.0,1.76,22.74,0.0
648.0,649.0,9.43,56.91,0.0
670.0,671.0,10.57,78.23,0.0
672.0,673.0,9.63,74.4,0.0
682.0,683.0,8.64,118.63,0.0
684.0,685.0,23.54,160.0,0.0
688.0,689.0,0.51,3.83,0.0
706.0,707.0,9.02,91.85,0.0
722.0,723.0,163.9,2683.72,0.0
732.0,733.0,11.06,8.09,0.0
734.0,735.0,14.06,127.56,0.0
762.0,763.0,23.28,217.88,0.0
764.0,765.0,26.9,184.47,0.0
774.0,775.0,9.44,71.32,0.0
776.0,777.0,19.87,137.97,0.0
784.0,785.0,14.98,114.45,0.0
786.0,787.0,12.46,102.08,0.0
788.0,789.0,2.61,20.22,0.0
790.0,791.0,8.42,69.06,0.0
792.0,793.0,7.56,35.39,0.0
794.0,795.0,12.62,164.22,0.0
796.0,797.0,33.35,255.93,0.0
816.0,817.0,1.38,6.9,0.0
822.0,823.0,46.12,602.74,0.0
830.0,831.0,54.67,719.18,0.0
834.0,835.0,11.26,99.9,0.0
848.0,849.0,8.76,44.76,0.0
872.0,873.0,17.25,148.55,0.0
874.0,875.0,28.53,220.58,0.0
912.0,913.0,17.26,140.76,0.0
930.0,931.0,9.09,69.98,0.0
932.0,933.0,12.08,94.93,0.0
934.0,935.0,18.63,171.6,0.0
940.0,941.0,9.25,67.63,0.0
942.0,943.0,15.71,199.81,0.0
970.0,971.0,21.89,133.31,0.0
972.0,973.0,16.5,95.16,0.0
974.0,975.0,14.62,86.54,0.0
976.0,977.0,16.27,94.68,0.0
978.0,979.0,22.24,130.96,0.0
988.0,989.0,3.82,53.37,0.0
990.0,991.0,14.05,195.47,0.0
992.0,993.0,0.67,9.25,0.0
994.0,995.0,2.89,40.12,0.0
996.0,997.0,5.14,71.48,0.0
998.0,999.0,5.87,81.27,0.0
1000.0,1001.0,3.44,48.12,0.0
1002.0,1003.0,18.9,263.26,0.0
1008.0,1009.0,2.91,24.7,0.0
1010.0,1011.0,21.53,278.41,0.0
1012.0,1013.0,13.44,160.05,0.0
1018.0,1019.0,8.57,119.34,0.0
1020.0,1021.0,3.03,42.22,0.0
1022.0,1023.0,4.26,54.31,0.0
1024.0,1025.0,3.59,45.3,0.0
1026.0,1027.0,7.06,104.76,0.0
1028.0,1029.0,5.15,79.47,0.0
1030.0,1031.0,7.65,118.4,0.0
1032.0,1033.0,7.43,114.37,0.0
1034.0,1035.0,6.01,91.71,0.0
1036.0,1037.0,9.04,140.13,0.0
1038.0,1039.0,8.88,112.69,0.0
1040.0,1041.0,14.95,176.77,0.0
1042.0,1043.0,33.74,241.04,0.0
