,from_node,to_node,edge_tt
12871,98,99,7.0
12872,104,105,1.057
12873,106,107,0.528
12874,114,115,12.91
12875,116,117,0.971
12876,118,119,1.686
12877,120,121,1.794
12878,122,123,4.766
12879,124,125,2.631
12880,126,127,3.993
12881,160,161,5.726
12882,162,163,14.176
12883,164,165,4.531
12884,176,177,15.767
12885,196,197,4.485
12886,200,201,8.257
12887,220,221,37.317
12888,332,333,9.94
12889,334,335,0.298
12890,336,337,0.168
12891,592,593,8.11
12892,594,595,1.348
12893,596,597,3.856
12894,624,625,34.935
12895,626,627,0.613
12896,628,629,6.779
12897,630,631,0.76
12898,632,633,0.268
12899,666,667,5.666
12900,738,739,6.767
12901,740,741,1.489
12902,742,743,2.663
12903,748,749,14.803
12904,750,751,5.798
12905,868,869,0.665
12906,870,871,5.77
12907,872,873,1.853
12908,874,875,0.761
12909,876,877,6.251
12910,880,881,4.281
12911,1048,1049,1.26
12912,1050,1051,1.282
12913,1052,1053,3.381
12914,1054,1055,3.93
12915,1056,1057,4.018
12916,1216,1217,5.811
12917,1218,1219,4.671
12918,1220,1221,3.037
12919,1222,1223,7.057
12920,1224,1225,3.793
12921,1428,1429,15.281
12922,1430,1431,11.825
12923,1432,1433,6.219
12924,1434,1435,4.679
12925,1436,1437,5.435
12926,1438,1439,5.354
12927,1440,1441,5.955
12928,1442,1443,0.614
12929,1444,1445,1.841
12930,1500,1501,11.593
12931,1502,1503,2.859
12932,1598,1599,0.288
12933,1600,1601,4.612
12934,1602,1603,8.459
12935,1604,1605,0.659
12936,1606,1607,8.499
12937,1608,1609,7.848
12938,1610,1611,6.201
12939,1616,1617,5.94
12940,1690,1691,0.821
12941,1694,1695,2.772
12942,2010,2011,15.813
12943,2012,2013,13.58
12944,2014,2015,0.51
12945,2016,2017,8.437
12946,2018,2019,3.987
12947,2020,2021,1.671
12948,2022,2023,6.132
12949,2024,2025,2.994
12950,2148,2149,2.166
12951,2150,2151,29.425
12952,2152,2153,0.11
12953,2154,2155,0.166
12954,2156,2157,0.712
12955,2158,2159,1.9
12956,2160,2161,0.136
12957,2162,2163,24.026
12958,2164,2165,1.876
12959,2166,2167,0.924
12960,2168,2169,2.466
12961,2170,2171,5.43
12962,2172,2173,1.33
12963,2174,2175,1.418
12964,2176,2177,1.037
12965,2190,2191,3.604
12966,2192,2193,1.34
12967,2194,2195,0.805
12968,2196,2197,3.755
12969,2324,2325,0.01
12970,2326,2327,3.842
12971,2392,2393,13.072
12972,2394,2395,2.495
12973,2396,2397,15.821
12974,2466,2467,19.416
12975,2468,2469,2.764
12976,2470,2471,25.3
12977,2472,2473,2.251
12978,2556,2557,0.49
12979,2558,2559,2.748
12980,2560,2561,5.761
12981,2624,2625,0.037
12982,2626,2627,8.851
12983,2628,2629,18.558
12984,2844,2845,12.729
12985,2846,2847,0.346
12986,2848,2849,18.544
12987,2850,2851,6.413
12988,2852,2853,8.263
12989,2854,2855,7.214
12990,2856,2857,1.679
12991,2858,2859,6.365
12992,2904,2905,2.972
