node_index,source_node_id,pos_x,pos_y,is_stop_only
143,4384503721,30472.35,16775.19,False
144,4384503721,30472.35,16775.19,False
145,4956873225,30458.65,16783.45,False
146,1185919940,15335.9,25429.29,False
147,30819601,15281.61,25497.23,False
148,85897268,29999.02,16837.61,False
149,29885311,29857.11,16833.09,False
150,85897028,30111.3,16835.65,False
151,85897268,29999.02,16837.61,False
152,85897242,30099.92,16805.6,False
153,85897044,30063.37,16699.65,False
154,85897242,30099.92,16805.6,False
155,cluster_1623706169_50163928,30514.86,17152.06,False
156,85933069,28620.75,16694.73,False
157,85933198,28839.92,16690.13,False
158,cluster_1899085495_1899085496_1899085543_1899085548_29857969_29857970_3420350727_3420350731_3420350740_3420350759_3420350765_3420350766_4151428082,28610.18,15801.89,False
159,85941845,28610.7,15863.3,False
160,cluster_195384987_85943220,28389.15,16287.96,False
161,85942448,28447.03,16287.18,False
162,1865877932,31727.79,3558.52,False
163,86022780,31646.96,3544.59,False
164,1638690351,31887.24,3318.62,False
165,86022784,31844.96,3557.25,False
166,31496611,39513.54,1862.15,False
167,31496612,39444.14,1901.16,False
168,7140447749,9865.14,14331.97,False
169,cluster_26904696_282763132_cluster_16541478_282763131,9629.5,14307.26,False
170,cluster_1735542977_cluster_1735542978_26904555_27587520,10162.38,14353.92,False
171,7140447749,9865.14,14331.97,False
172,60180384,4576.67,14772.48,False
173,267166233,4535.27,14886.54,False
174,262514711,4597.17,14971.26,False
175,262515039,4657.8,14973.74,False
176,262471605,19774.69,16373.11,False
177,cluster_26753142_27484568,19810.28,16443.29,False
178,150907238,13679.45,4368.51,False
179,148805610,13572.8,4326.02,False
180,150907237,13747.8,4413.62,False
181,150907238,13679.45,4368.51,False
182,278713316,13798.76,4389.14,False
183,150907237,13747.8,4413.62,False
184,148805641,13855.06,4777.52,False
185,148805646,13717.83,4725.84,False
186,148805616,13956.58,4816.69,False
187,148805641,13855.06,4777.52,False
188,150906665,13688.16,5043.44,False
189,6064397934,13499.3,4840.55,False
190,1189661688,8314.53,6530.85,False
191,27276971,8437.75,6611.05,False
192,55169074,29075.52,16645.11,False
193,55169163,28839.19,16649.97,False
194,50164158,29925.21,17086.65,False
195,59955346,29936.01,17234.16,False
