from_node,to_node,edge_tt,distance,source_edge_id,edge_var
10.0,11.0,11.54,80.42,-100405260,0.0
12.0,13.0,11.1,100.22,-100541440#2,0.0
14.0,15.0,10.43,146.36,-100541440#3,0.0
18.0,19.0,5.14,39.38,-10081209,0.0
20.0,21.0,68.21,456.56,-10081218,0.0
22.0,23.0,6.85,23.62,-10081229,0.0
24.0,25.0,3.77,31.1,-10081232#0,0.0
28.0,29.0,139.58,985.91,-100832885,0.0
30.0,31.0,14.56,121.69,-10098785#10,0.0
32.0,33.0,15.93,85.85,-10098785#3,0.0
34.0,35.0,11.98,92.28,-10098785#4,0.0
36.0,37.0,17.98,122.3,-10098785#9,0.0
38.0,39.0,13.11,110.95,-10099393,0.0
40.0,41.0,1.25,8.28,-1011477795,0.0
42.0,43.0,32.1,110.09,-101290089#2,0.0
48.0,49.0,10.41,63.35,-101290091,0.0
50.0,51.0,38.94,298.53,-101290092,0.0
52.0,53.0,13.5,94.73,-101290094#0,0.0
54.0,55.0,8.06,57.66,-101290094#1,0.0
56.0,57.0,10.82,81.51,-101290094#2,0.0
58.0,59.0,13.57,97.97,-101290094#3,0.0
68.0,69.0,33.75,236.75,-101290099,0.0
70.0,71.0,8.28,108.81,-1013117571,0.0
80.0,81.0,3.89,26.44,-101702340#0,0.0
82.0,83.0,20.84,157.81,-101702340#1,0.0
84.0,85.0,1.39,18.6,-10195357,0.0
94.0,95.0,9.33,91.9,-102486174#1,0.0
96.0,97.0,35.67,226.33,-102486193#2,0.0
98.0,99.0,11.67,82.13,-102486193#3,0.0
100.0,101.0,27.51,194.9,-102486193#4,0.0
102.0,103.0,5.37,37.84,-102486193#5,0.0
104.0,105.0,189.23,1508.12,-102486231#0,0.0
106.0,107.0,0.68,3.85,-102486254#0,0.0
108.0,109.0,11.88,92.8,-102486254#2,0.0
110.0,111.0,24.9,189.0,-102486254#3,0.0
112.0,113.0,30.04,193.65,-102486268,0.0
114.0,115.0,20.09,128.89,-102527800,0.0
116.0,117.0,7.75,100.58,-102532387#0,0.0
118.0,119.0,17.39,224.4,-102532387#1,0.0
122.0,123.0,7.06,41.94,-10258813#0,0.0
124.0,125.0,21.37,127.01,-10258813#1,0.0
152.0,153.0,13.94,97.02,-10271173,0.0
162.0,163.0,8.2,67.51,-10274921,0.0
