,from_node,to_node,edge_tt
36338,110,111,108.28
36339,592,593,6.769
36340,624,625,29.459
36341,626,627,0.5
36342,628,629,10.082
36343,630,631,1.021
36344,632,633,0.318
36345,1694,1695,2.183
36346,2324,2325,0.007
36347,2326,2327,3.795
36348,2392,2393,7.549
36349,2394,2395,2.303
36350,2396,2397,17.454
36351,2830,2831,6561.0
36352,2844,2845,16.982
36353,2848,2849,16.222
36354,2850,2851,5.752
36355,2852,2853,7.642
36356,2854,2855,6.578
36357,2856,2857,1.441
36358,2858,2859,5.478
36359,2934,2935,274.2
36360,3484,3485,5.464
36361,3486,3487,1.371
36362,3918,3919,4.494
36363,3922,3923,0.014
36364,3924,3925,2.901
36365,4402,4403,14.346
36366,4498,4499,11.352
36367,5014,5015,148.758
36368,5218,5219,3.677
36369,5730,5731,2.361
36370,6156,6157,21.749
36371,6158,6159,7.707
36372,6446,6447,6.13
36373,7596,7597,10.471
36374,7914,7915,2.168
36375,9922,9923,3.962
36376,10080,10081,3.657
36377,10082,10083,0.013
36378,10084,10085,8.482
36379,10086,10087,3.244
36380,10088,10089,4.863
36381,10090,10091,3.2
36382,10092,10093,3.642
36383,10094,10095,1.471
36384,10096,10097,0.444
36385,10098,10099,12.507
36386,10100,10101,1.803
36387,11276,11277,0.649
36388,11662,11663,2.813
36389,11664,11665,8.763
36390,11666,11667,11.561
36391,11750,11751,6.466
36392,11752,11753,4.628
36393,11754,11755,0.154
36394,11756,11757,3.783
36395,11980,11981,1.441
36396,11982,11983,3.537
36397,11984,11985,2.532
36398,12182,12183,3.064
36399,12184,12185,1.758
36400,12186,12187,6.978
36401,12572,12573,28.856
36402,12574,12575,0.22
36403,12576,12577,4.861
36404,13152,13153,0.573
36405,13154,13155,4.427
36406,13156,13157,5.227
36407,13298,13299,0.712
36408,13300,13301,2.703
36409,13302,13303,3.278
36410,13304,13305,7.045
36411,13306,13307,1.676
36412,13308,13309,6.651
36413,14032,14033,3.839
36414,14034,14035,4.609
36415,14218,14219,2.109
36416,14302,14303,11.807
36417,14304,14305,6.335
36418,14306,14307,1.587
36419,14308,14309,0.091
36420,14310,14311,6.843
36421,14312,14313,1.705
36422,14404,14405,3.486
36423,14586,14587,3.986
36424,14588,14589,2.62
36425,14590,14591,0.605
36426,14592,14593,0.018
36427,14910,14911,1.31
36428,15232,15233,3.939
36429,15234,15235,2.727
36430,15494,15495,10.498
36431,15580,15581,1.905
36432,15582,15583,8.467
36433,15584,15585,4.858
36434,15586,15587,10.634
36435,15588,15589,1.368
36436,15904,15905,3.14
36437,15936,15937,3.836
36438,16218,16219,3.923
36439,16274,16275,1.516
36440,16300,16301,3.568
36441,16302,16303,1.695
36442,16308,16309,1.434
36443,16310,16311,0.023
36444,16312,16313,1.032
36445,16522,16523,8.81
36446,16524,16525,1.247
36447,16544,16545,11.902
36448,16900,16901,0.957
36449,17038,17039,4.887
36450,17040,17041,4.695
36451,17042,17043,6.036
36452,17884,17885,2.51
36453,17886,17887,0.252
36454,18028,18029,0.858
36455,18632,18633,1.569
36456,19166,19167,2.272
36457,19168,19169,4.851
36458,19170,19171,2.233
36459,19172,19173,16.081
36460,19174,19175,0.905
36461,19676,19677,22.973
36462,19678,19679,4.209
36463,19694,19695,3.924
36464,19808,19809,79.643
36465,19812,19813,7.015
36466,19842,19843,8.023
36467,19844,19845,2.254
36468,19970,19971,2.087
36469,20154,20155,0.152
36470,20156,20157,1.003
36471,20258,20259,4.768
36472,20260,20261,5.932
36473,20262,20263,8.074
36474,20264,20265,1.439
36475,20304,20305,26.369
36476,20306,20307,0.467
36477,20308,20309,23.608
36478,20358,20359,5.246
36479,20448,20449,2.61
36480,20450,20451,13.7
36481,20452,20453,4.479
36482,20664,20665,3.645
36483,21266,21267,4.505
36484,21268,21269,3.697
36485,21270,21271,3.358
36486,21272,21273,0.296
36487,21274,21275,1.219
36488,21330,21331,7.717
36489,21332,21333,2.097
36490,21364,21365,2.525
36491,21366,21367,20.0
36492,21472,21473,5.094
36493,21474,21475,0.46
36494,21560,21561,0.682
36495,21564,21565,2.791
36496,22154,22155,5.873
36497,22156,22157,3.154
36498,22222,22223,1.586
36499,22234,22235,3.597
36500,22264,22265,7.841
36501,22366,22367,0.01
36502,22368,22369,4.99
36503,22428,22429,7.721
36504,22430,22431,0.176
36505,22578,22579,0.172
36506,22580,22581,6.071
36507,22762,22763,13.067
36508,22764,22765,4.314
36509,22766,22767,2.023
36510,22768,22769,1.151
36511,22770,22771,9.609
36512,22930,22931,10.275
36513,22936,22937,0.386
36514,22950,22951,0.016
36515,22958,22959,0.046
36516,22960,22961,0.345
36517,22962,22963,0.032
36518,22964,22965,1.123
36519,22966,22967,1.358
36520,23036,23037,17.98
36521,23040,23041,2.0
36522,23042,23043,0.023
36523,23798,23799,6.549
36524,23802,23803,2.858
36525,24140,24141,35.711
36526,24158,24159,3.77
36527,24160,24161,0.013
36528,24164,24165,2.585
36529,24336,24337,5.399
36530,24338,24339,1.317
36531,24340,24341,10.828
36532,24342,24343,0.591
36533,24344,24345,7.214
36534,24346,24347,12.955
36535,24348,24349,35.254
36536,24406,24407,1.371
36537,24710,24711,19.141
36538,24816,24817,3.841
36539,25308,25309,4.749
36540,25310,25311,13.1
36541,25350,25351,4.952
36542,25352,25353,5.732
36543,25354,25355,0.574
36544,25356,25357,7.348
36545,25358,25359,3.314
36546,25392,25393,10.11
36547,25406,25407,5.177
36548,25410,25411,4.258
36549,25412,25413,2.28
36550,25448,25449,1.299
36551,25566,25567,1.445
36552,25568,25569,3.019
36553,25570,25571,1.073
36554,25572,25573,3.469
36555,25574,25575,3.019
36556,25818,25819,4.509
36557,25820,25821,18.633
36558,25822,25823,3.979
36559,25846,25847,12.042
36560,25848,25849,5.596
36561,25850,25851,2.979
36562,25852,25853,3.698
36563,25854,25855,0.466
36564,25856,25857,2.761
36565,26072,26073,9.868
36566,26198,26199,0.888
36567,26362,26363,3.602
36568,26364,26365,1.381
36569,26366,26367,11.356
36570,26368,26369,4.918
36571,26370,26371,7.732
36572,26372,26373,7.071
36573,26374,26375,4.004
36574,26376,26377,2.88
36575,26378,26379,1.618
36576,26380,26381,2.77
36577,26960,26961,8.954
36578,27548,27549,3.253
36579,27550,27551,9.056
36580,27802,27803,3.16
36581,27804,27805,6.039
36582,27806,27807,6.042
36583,27808,27809,5.812
36584,27810,27811,2.248
36585,27812,27813,0.374
36586,27814,27815,2.061
36587,27816,27817,1.611
36588,28572,28573,0.614
36589,28646,28647,74.001
36590,28648,28649,3.417
36591,28650,28651,4.816
36592,30174,30175,4.037
36593,30596,30597,11.361
36594,30598,30599,3.54
36595,30692,30693,153.789
36596,30698,30699,7.211
36597,30700,30701,8.549
36598,30702,30703,2.565
36599,30704,30705,2.082
36600,30710,30711,7.881
36601,30716,30717,6.342
36602,30724,30725,4.195
36603,30732,30733,2.853
36604,30734,30735,15.281
36605,30924,30925,13.446
36606,30928,30929,2.825
36607,30930,30931,3.627
36608,30934,30935,18.123
36609,30940,30941,10.57
36610,31066,31067,14.453
36611,31086,31087,1.465
36612,31088,31089,3.271
36613,31110,31111,14.95
36614,31296,31297,3.778
36615,31298,31299,1.503
36616,31538,31539,3.211
