,from_node,to_node,edge_tt
6608,14,15,4.457
6609,16,17,8.329
6610,98,99,8.012
6611,104,105,1.289
6612,106,107,0.649
6613,110,111,8.468
6614,112,113,4.567
6615,114,115,4.124
6616,116,117,1.139
6617,126,127,4.856
6618,160,161,5.992
6619,162,163,14.546
6620,164,165,4.681
6621,200,201,7.355
6622,336,337,0.197
6623,494,495,2.637
6624,496,497,2.299
6625,498,499,5.868
6626,500,501,0.967
6627,502,503,2.846
6628,504,505,25.646
6629,592,593,8.895
6630,628,629,8.474
6631,630,631,0.822
6632,632,633,0.276
6633,666,667,6.441
6634,712,713,0.025
6635,738,739,7.852
6636,740,741,1.373
6637,742,743,2.756
6638,748,749,14.687
6639,750,751,4.615
6640,868,869,0.767
6641,870,871,6.003
6642,872,873,1.995
6643,874,875,0.849
6644,876,877,6.585
6645,880,881,4.091
6646,1048,1049,1.35
6647,1050,1051,1.361
6648,1052,1053,2.508
6649,1054,1055,5.311
6650,1056,1057,2.347
6651,1216,1217,4.475
6652,1218,1219,3.764
6653,1220,1221,2.903
6654,1222,1223,6.43
6655,1224,1225,3.595
6656,1428,1429,16.667
6657,1430,1431,15.279
6658,1432,1433,5.599
6659,1434,1435,5.218
6660,1436,1437,4.783
6661,1438,1439,4.118
6662,1440,1441,3.726
6663,1442,1443,0.294
6664,1444,1445,1.192
6665,1500,1501,13.126
6666,1502,1503,2.83
6667,1598,1599,0.354
6668,1600,1601,5.464
6669,1602,1603,9.303
6670,1604,1605,0.759
6671,1606,1607,9.674
6672,1608,1609,8.556
6673,1610,1611,7.425
6674,1616,1617,6.137
6675,1690,1691,0.96
6676,1694,1695,3.383
6677,1704,1705,1.443
6678,1706,1707,1.788
6679,1938,1939,9.089
6680,2010,2011,7.639
6681,2012,2013,9.524
6682,2014,2015,0.453
6683,2016,2017,7.276
6684,2018,2019,3.262
6685,2020,2021,1.39
6686,2022,2023,5.263
6687,2024,2025,1.804
6688,2092,2093,5.999
6689,2150,2151,49.308
6690,2164,2165,2.305
6691,2172,2173,1.703
6692,2174,2175,2.301
6693,2190,2191,3.426
6694,2192,2193,1.322
6695,2194,2195,0.78
6696,2196,2197,3.671
6697,2324,2325,0.012
6698,2326,2327,4.862
6699,2392,2393,7.241
6700,2394,2395,2.198
6701,2396,2397,15.454
6702,2466,2467,13.566
6703,2468,2469,1.915
6704,2470,2471,18.865
6705,2472,2473,1.925
6706,2556,2557,0.621
6707,2558,2559,3.424
6708,2560,2561,7.165
6709,2628,2629,15.706
6710,2826,2827,38.739
6711,2828,2829,26.771
6712,2830,2831,6.08
6713,2832,2833,1.794
6714,2834,2835,0.017
6715,2836,2837,3.491
6716,2846,2847,0.371
6717,2848,2849,19.787
6718,2850,2851,6.784
6719,2852,2853,9.158
6720,2854,2855,7.251
6721,2856,2857,1.594
6722,2858,2859,6.043
6723,2916,2917,0.922
6724,2918,2919,0.172
6725,2920,2921,2.691
6726,2934,2935,9.165
6727,2958,2959,9.749
6728,2960,2961,6.627
6729,2962,2963,1.646
6730,2964,2965,5.117
6731,3486,3487,1.616
6732,3918,3919,5.368
6733,3920,3921,0.018
6734,3922,3923,0.015
6735,3924,3925,3.922
6736,4104,4105,4.467
6737,4128,4129,33.403
6738,4130,4131,1.89
6739,4132,4133,0.316
6740,4134,4135,0.568
6741,4136,4137,4.212
6742,4138,4139,1.565
6743,4140,4141,16.146
6744,4142,4143,1.928
6745,4144,4145,4.396
6746,4146,4147,2.498
6747,4148,4149,1.307
6748,4150,4151,0.905
6749,4152,4153,2.416
6750,4154,4155,1.69
6751,4156,4157,1.812
6752,4158,4159,9.869
6753,4160,4161,5.912
6754,4162,4163,1.66
6755,4164,4165,1.877
6756,4166,4167,1.533
6757,4168,4169,3.126
6758,4170,4171,8.831
6759,4172,4173,12.097
6760,4174,4175,9.361
6761,4246,4247,3.048
6762,4248,4249,14.163
6763,4402,4403,18.066
6764,4490,4491,9.918
6765,4492,4493,3.218
6766,4494,4495,0.88
6767,4496,4497,1.781
6768,4922,4923,1.574
6769,4924,4925,3.309
6770,4926,4927,3.49
6771,4928,4929,2.96
6772,4972,4973,12.01
6773,4974,4975,15.157
6774,4976,4977,7.217
6775,4978,4979,39.771
6776,4980,4981,1.139
6777,4982,4983,12.023
6778,4984,4985,0.921
6779,4986,4987,11.833
6780,4988,4989,2.74
6781,4990,4991,3.256
6782,4992,4993,6.309
6783,4994,4995,5.044
6784,4996,4997,0.736
6785,4998,4999,17.995
6786,5000,5001,5.874
6787,5006,5007,15.819
6788,5008,5009,3.069
6789,5010,5011,6.098
6790,5012,5013,0.373
6791,5014,5015,10.018
6792,5016,5017,4.885
6793,5054,5055,1.41
6794,5056,5057,10.916
6795,5058,5059,1.322
6796,5060,5061,12.975
6797,5062,5063,1.883
6798,5064,5065,0.716
6799,5066,5067,8.14
6800,5068,5069,6.582
6801,5070,5071,11.352
6802,5072,5073,4.824
6803,5074,5075,7.191
6804,5076,5077,3.953
6805,5078,5079,11.568
6806,5152,5153,1.886
6807,5154,5155,8.253
6808,5156,5157,3.23
6809,5158,5159,0.544
6810,5160,5161,0.283
6811,5162,5163,4.158
6812,5164,5165,6.179
6813,5166,5167,3.848
6814,5176,5177,1.66
6815,5178,5179,2.392
6816,5180,5181,0.086
6817,5182,5183,0.969
6818,5184,5185,6.572
6819,5186,5187,2.216
6820,5188,5189,9.59
6821,5190,5191,11.222
6822,5218,5219,13.229
6823,5414,5415,17.468
6824,5416,5417,10.605
6825,5418,5419,5.186
6826,5420,5421,4.648
6827,5422,5423,0.601
6828,5424,5425,0.942
6829,5426,5427,4.724
6830,5428,5429,20.63
6831,5436,5437,1.026
6832,5438,5439,2.133
6833,5440,5441,4.759
6834,5442,5443,2.75
6835,5472,5473,3.584
6836,5476,5477,1.059
6837,5478,5479,0.408
6838,5480,5481,2.812
6839,5538,5539,5.206
6840,5540,5541,4.273
6841,5542,5543,2.364
6842,5544,5545,0.669
6843,5546,5547,6.146
6844,5554,5555,4.823
6845,5610,5611,16.331
6846,5612,5613,2.028
6847,5614,5615,3.279
6848,5616,5617,12.863
6849,5618,5619,39.156
6850,5620,5621,5.007
6851,5622,5623,13.334
6852,5860,5861,5.049
6853,5862,5863,3.569
6854,5864,5865,4.253
6855,5866,5867,1.661
6856,5870,5871,0.707
6857,5906,5907,2.814
6858,5908,5909,2.027
6859,5910,5911,1.16
6860,6070,6071,1.07
6861,6160,6161,0.233
6862,6444,6445,6.108
6863,6446,6447,9.575
6864,6474,6475,6.668
6865,6476,6477,6.966
6866,6478,6479,7.353
6867,6480,6481,9.289
6868,6482,6483,5.741
6869,6566,6567,0.036
6870,6568,6569,4.534
6871,6570,6571,5.633
6872,6572,6573,7.363
6873,6574,6575,7.079
6874,6576,6577,0.69
6875,6578,6579,3.661
6876,6580,6581,5.43
6877,6582,6583,13.541
6878,6690,6691,11.791
6879,7022,7023,1.767
6880,7200,7201,0.579
6881,7202,7203,2.918
6882,7246,7247,3.09
6883,7248,7249,3.088
6884,7250,7251,5.771
6885,7252,7253,6.19
6886,7254,7255,6.917
6887,7256,7257,3.145
6888,7258,7259,0.522
6889,7260,7261,3.352
6890,7262,7263,2.47
6891,7386,7387,0.145
6892,7388,7389,0.019
6893,7390,7391,2.681
6894,7392,7393,10.509
6895,7394,7395,2.412
6896,7396,7397,1.637
6897,7398,7399,3.247
6898,7400,7401,1.072
6899,7402,7403,2.344
