,from_node,to_node,edge_tt
33566,14,15,4.906
33567,16,17,9.513
33568,98,99,7.335
33569,104,105,1.175
33570,106,107,0.595
33571,108,109,5.999
33572,114,115,14.162
33573,116,117,0.935
33574,118,119,1.572
33575,120,121,1.73
33576,122,123,4.566
33577,124,125,2.488
33578,126,127,3.989
33579,160,161,8.386
33580,162,163,19.032
33581,164,165,5.718
33582,200,201,6.345
33583,332,333,9.962
33584,334,335,0.292
33585,336,337,0.174
33586,592,593,7.024
33587,624,625,29.187
33588,626,627,0.486
33589,628,629,6.143
33590,630,631,0.715
33591,666,667,6.178
33592,738,739,6.015
33593,740,741,1.41
33594,742,743,3.236
33595,748,749,13.448
33596,750,751,4.293
33597,868,869,0.579
33598,870,871,5.243
33599,872,873,1.775
33600,874,875,0.677
33601,876,877,5.627
33602,880,881,2.926
33603,1048,1049,1.241
33604,1050,1051,1.249
33605,1052,1053,2.7
33606,1054,1055,3.816
33607,1056,1057,12.716
33608,1216,1217,3.217
33609,1218,1219,2.936
33610,1220,1221,1.837
33611,1222,1223,3.874
33612,1224,1225,2.409
33613,1436,1437,3.787
33614,1438,1439,3.207
33615,1440,1441,2.875
33616,1442,1443,0.253
33617,1444,1445,1.045
33618,1500,1501,12.426
33619,1502,1503,2.82
33620,1598,1599,0.228
33621,1600,1601,4.521
33622,1602,1603,8.603
33623,1604,1605,0.652
33624,1606,1607,7.86
33625,1608,1609,7.579
33626,1610,1611,6.268
33627,1616,1617,6.942
33628,1690,1691,0.632
33629,1694,1695,2.447
33630,2010,2011,7.319
33631,2012,2013,9.794
33632,2014,2015,0.471
33633,2086,2087,2.968
33634,2088,2089,3.056
33635,2090,2091,4.58
33636,2092,2093,3.835
33637,2324,2325,0.009
33638,2326,2327,4.865
33639,2396,2397,13.641
33640,2466,2467,14.155
33641,2468,2469,2.018
33642,2470,2471,19.845
33643,2472,2473,2.824
33644,2556,2557,0.535
33645,2558,2559,2.894
33646,2560,2561,5.63
33647,2664,2665,3.908
33648,2666,2667,11.121
33649,2668,2669,1.307
33650,2670,2671,1.058
33651,2844,2845,13.961
33652,2846,2847,0.368
33653,2848,2849,17.442
33654,2850,2851,5.634
33655,2852,2853,6.94
33656,2854,2855,6.288
33657,2856,2857,1.508
33658,2858,2859,6.007
33659,2916,2917,1.079
33660,2918,2919,0.251
33661,2920,2921,9.12
33662,2958,2959,8.728
33663,2960,2961,4.695
33664,2962,2963,1.502
33665,2964,2965,4.811
33666,3354,3355,1.684
33667,3484,3485,4.354
33668,3486,3487,1.148
33669,3918,3919,5.02
33670,3920,3921,0.016
33671,3922,3923,0.016
33672,3924,3925,3.232
33673,4104,4105,4.02
33674,4116,4117,0.272
33675,4118,4119,4.55
33676,4120,4121,0.078
33677,4122,4123,1.678
33678,4124,4125,5.115
33679,4126,4127,4.382
33680,4158,4159,3.483
33681,4160,4161,5.238
33682,4162,4163,1.663
33683,4164,4165,1.905
33684,4166,4167,1.529
33685,4168,4169,3.092
33686,4170,4171,7.776
33687,4172,4173,10.983
33688,4174,4175,8.799
33689,4218,4219,0.954
33690,4220,4221,1.516
33691,4246,4247,3.001
33692,4248,4249,10.628
33693,4402,4403,18.071
33694,4490,4491,9.259
33695,4492,4493,3.139
33696,4498,4499,11.133
33697,4884,4885,2.965
33698,4926,4927,15.378
33699,4928,4929,3.743
33700,4972,4973,14.424
33701,4974,4975,12.422
33702,5016,5017,4.093
33703,5018,5019,3.616
33704,5032,5033,2.248
33705,5034,5035,3.401
33706,5036,5037,3.82
33707,5038,5039,6.099
33708,5040,5041,2.21
33709,5042,5043,2.592
33710,5044,5045,13.819
33711,5046,5047,4.536
33712,5048,5049,6.49
33713,5050,5051,1.97
33714,5052,5053,0.806
33715,5054,5055,1.321
33716,5056,5057,10.378
33717,5058,5059,1.29
33718,5060,5061,6.146
33719,5062,5063,1.773
33720,5064,5065,0.834
33721,5066,5067,10.391
33722,5068,5069,7.311
