,from_node,to_node,edge_tt
4457,14,15,4.415
4458,16,17,9.124
4459,98,99,7.197
4460,104,105,1.104
4461,106,107,0.545
4462,108,109,13.959
4463,110,111,7.524
4464,112,113,4.703
4465,114,115,26.474
4466,116,117,1.243
4467,118,119,1.91
4468,120,121,2.088
4469,122,123,5.276
4470,124,125,2.874
4471,126,127,4.534
4472,160,161,7.031
4473,162,163,16.144
4474,164,165,5.304
4475,200,201,7.909
4476,202,203,5.502
4477,206,207,9.585
4478,260,261,2.881
4479,332,333,11.138
4480,334,335,0.296
4481,336,337,0.153
4482,494,495,2.379
4483,496,497,1.995
4484,498,499,5.046
4485,500,501,0.812
4486,502,503,2.367
4487,504,505,21.444
4488,592,593,8.185
4489,594,595,1.388
4490,596,597,3.61
4491,624,625,25.185
4492,626,627,0.455
4493,628,629,10.599
4494,630,631,0.854
4495,632,633,0.283
4496,666,667,5.734
4497,712,713,0.031
4498,738,739,7.071
4499,740,741,1.345
4500,742,743,2.78
4501,748,749,13.186
4502,750,751,4.479
4503,868,869,0.738
4504,870,871,7.099
4505,872,873,1.991
4506,874,875,0.913
4507,876,877,6.092
4508,880,881,4.048
4509,1048,1049,1.066
4510,1050,1051,1.073
4511,1052,1053,3.72
4512,1054,1055,4.814
4513,1056,1057,2.817
4514,1216,1217,4.655
4515,1218,1219,3.935
4516,1220,1221,2.656
4517,1222,1223,5.034
4518,1224,1225,3.22
4519,1238,1239,7.264
4520,1240,1241,19.213
4521,1242,1243,48.683
4522,1428,1429,16.032
4523,1430,1431,14.751
4524,1432,1433,5.581
4525,1434,1435,5.148
4526,1436,1437,4.678
4527,1438,1439,4.13
4528,1440,1441,3.349
4529,1442,1443,0.292
4530,1444,1445,1.226
4531,1500,1501,10.218
4532,1502,1503,2.619
4533,1598,1599,0.291
4534,1600,1601,4.685
4535,1602,1603,7.71
4536,1604,1605,0.713
4537,1606,1607,19.236
4538,1608,1609,7.271
4539,1610,1611,6.52
4540,1616,1617,5.972
4541,1620,1621,2.08
4542,1656,1657,2.099
4543,1658,1659,2.461
4544,1660,1661,0.546
4545,1662,1663,11.059
4546,1664,1665,6.522
4547,1690,1691,0.82
4548,1694,1695,2.778
4549,1938,1939,8.691
4550,2010,2011,8.735
4551,2012,2013,10.001
4552,2014,2015,0.488
4553,2016,2017,7.178
4554,2018,2019,3.313
4555,2020,2021,1.358
4556,2022,2023,5.202
4557,2024,2025,1.756
4558,2068,2069,17.805
4559,2070,2071,8.209
4560,2072,2073,3.829
4561,2074,2075,4.814
4562,2076,2077,2.488
4563,2078,2079,3.377
4564,2086,2087,3.848
4565,2088,2089,3.002
4566,2090,2091,4.053
4567,2092,2093,3.003
4568,2150,2151,32.435
4569,2152,2153,0.112
4570,2154,2155,0.198
4571,2156,2157,0.699
4572,2158,2159,1.768
4573,2160,2161,0.11
4574,2162,2163,2.338
4575,2164,2165,2.025
4576,2166,2167,0.703
4577,2168,2169,2.05
4578,2170,2171,4.763
4579,2172,2173,1.57
4580,2174,2175,1.843
4581,2176,2177,1.221
4582,2190,2191,3.406
4583,2192,2193,1.602
4584,2194,2195,0.7
4585,2196,2197,3.379
4586,2202,2203,2.479
4587,2324,2325,0.01
4588,2326,2327,4.892
4589,2350,2351,13.693
4590,2352,2353,11.733
4591,2354,2355,5.493
4592,2356,2357,11.352
4593,2358,2359,19.831
4594,2366,2367,16.602
4595,2392,2393,6.449
4596,2394,2395,2.154
4597,2396,2397,15.547
4598,2466,2467,14.898
4599,2468,2469,1.988
4600,2470,2471,19.246
4601,2472,2473,1.96
4602,2556,2557,0.473
4603,2558,2559,2.695
4604,2560,2561,6.112
4605,2628,2629,14.491
4606,2664,2665,3.927
4607,2666,2667,18.759
4608,2668,2669,1.192
4609,2670,2671,1.271
4610,2676,2677,13.012
4611,2678,2679,4.702
4612,2680,2681,2.403
4613,2682,2683,2.136
4614,2684,2685,6.482
4615,2826,2827,5.912
4616,2828,2829,18.343
4617,2830,2831,5.735
4618,2844,2845,13.402
4619,2846,2847,0.388
4620,2848,2849,18.771
4621,2850,2851,5.989
4622,2852,2853,8.167
4623,2854,2855,7.24
4624,2856,2857,1.621
4625,2858,2859,6.02
4626,2904,2905,3.054
4627,2906,2907,4.481
4628,2908,2909,2.069
4629,2910,2911,0.712
4630,2912,2913,6.595
4631,2914,2915,1.001
4632,2916,2917,1.095
4633,2918,2919,0.192
4634,2920,2921,3.071
4635,2922,2923,0.021
4636,2934,2935,4.272
4637,2958,2959,7.852
4638,2960,2961,5.508
4639,2962,2963,1.367
4640,3354,3355,1.216
4641,3366,3367,5.138
4642,3368,3369,17.822
4643,3486,3487,1.453
4644,3918,3919,6.102
4645,3922,3923,0.021
4646,3924,3925,3.215
4647,4104,4105,4.119
4648,4128,4129,25.488
4649,4130,4131,1.783
4650,4132,4133,0.319
4651,4134,4135,0.556
4652,4136,4137,4.274
4653,4138,4139,1.668
4654,4140,4141,17.188
4655,4142,4143,2.039
4656,4144,4145,4.166
4657,4146,4147,2.72
4658,4148,4149,1.338
4659,4150,4151,0.977
4660,4152,4153,2.483
4661,4154,4155,1.589
4662,4156,4157,1.709
4663,4158,4159,9.001
4664,4160,4161,6.998
4665,4162,4163,1.919
4666,4164,4165,2.135
4667,4166,4167,1.713
4668,4168,4169,3.4
4669,4170,4171,9.052
4670,4172,4173,12.657
4671,4174,4175,9.974
4672,4216,4217,32.084
4673,4246,4247,12.154
4674,4248,4249,12.925
4675,4402,4403,17.9
4676,4490,4491,9.271
4677,4492,4493,3.105
4678,4884,4885,2.836
4679,4926,4927,3.923
4680,4928,4929,3.286
4681,5006,5007,17.719
4682,5008,5009,2.68
4683,5010,5011,5.55
4684,5012,5013,0.231
4685,5014,5015,4.388
4686,5016,5017,4.763
4687,5018,5019,4.652
4688,5026,5027,3.387
4689,5032,5033,1.867
4690,5034,5035,2.884
4691,5036,5037,3.657
4692,5038,5039,5.547
4693,5040,5041,4.585
4694,5042,5043,2.448
4695,5044,5045,12.527
4696,5046,5047,4.621
4697,5048,5049,7.445
4698,5050,5051,2.014
4699,5052,5053,0.742
4700,5054,5055,1.494
4701,5056,5057,13.21
4702,5058,5059,1.803
4703,5060,5061,7.309
