"simulation_index","MOD_demand_subset","fleet_size","network_name","vehtype","objective_function","evaluation_int_start","evaluation_int_end","random_seed","start_time","end_time","op_module","demand_name","network_type","sim_env","sumo_t_update","sumo_fcd_vehicles","rerouting_sc","hybrid_router","p_opt"
"38","1","40000","sumo_berlin","FP_hailing_vehtype","total_system_time","21600","25200","0","18000","28800","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_0.0",,"0",""
"39","0.02","1000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"40","0.05","2500","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"41","0.1","5000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"42","0.2","10000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"43","0.4","20000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"44","0.6","30000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"45","0.8","40000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"46","1","40000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"47","0.02","2000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"48","0.05","5000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"49","0.1","10000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"50","0.2","20000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"51","0.4","40000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"52","0.6","60000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"53","0.8","80000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
"54","1","100000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","","op_0-pv_1.0",,"0",""
