,from_node,to_node,edge_tt
14788,14,15,6.72
14789,16,17,7.965
14790,98,99,7.5
14791,104,105,1.023
14792,106,107,0.516
14793,108,109,26.075
14794,110,111,8.186
14795,112,113,5.018
14796,160,161,6.07
14797,162,163,14.926
14798,164,165,5.101
14799,176,177,8.619
14800,196,197,1.385
14801,200,201,9.315
14802,202,203,5.316
14803,206,207,5.158
14804,332,333,9.667
14805,334,335,0.287
14806,592,593,8.277
14807,594,595,1.257
14808,596,597,3.338
14809,624,625,29.764
14810,626,627,0.499
14811,628,629,5.573
14812,630,631,0.629
14813,632,633,0.228
14814,666,667,5.864
14815,738,739,7.612
14816,740,741,1.548
14817,742,743,2.68
14818,748,749,13.692
14819,750,751,5.692
14820,868,869,0.652
14821,870,871,8.831
14822,872,873,1.794
14823,874,875,0.766
14824,876,877,5.727
14825,880,881,4.131
14826,1048,1049,1.201
14827,1050,1051,1.394
14828,1052,1053,2.444
14829,1054,1055,3.228
14830,1056,1057,15.252
14831,1216,1217,5.625
14832,1218,1219,2.735
14833,1220,1221,4.829
14834,1222,1223,7.7
14835,1224,1225,4.275
14836,1428,1429,15.798
14837,1430,1431,19.964
14838,1432,1433,5.957
14839,1434,1435,5.069
14840,1436,1437,5.332
14841,1438,1439,5.125
14842,1440,1441,5.129
14843,1442,1443,0.342
14844,1444,1445,1.351
14845,1500,1501,11.547
14846,1502,1503,2.929
14847,1600,1601,6.564
14848,1602,1603,9.628
14849,1604,1605,0.788
14850,1606,1607,12.326
14851,1608,1609,8.504
14852,1610,1611,6.716
14853,1616,1617,5.939
14854,1620,1621,1.749
14855,1690,1691,1.353
14856,1694,1695,2.811
14857,1704,1705,1.792
14858,1706,1707,1.674
14859,1938,1939,8.319
14860,1942,1943,25.565
14861,1946,1947,1.785
14862,2190,2191,3.01
14863,2192,2193,1.305
14864,2194,2195,0.603
14865,2196,2197,2.941
14866,2324,2325,0.011
14867,2326,2327,4.724
14868,2350,2351,16.657
14869,2352,2353,12.15
14870,2354,2355,9.069
14871,2356,2357,15.121
14872,2358,2359,28.931
14873,2366,2367,11.91
14874,2392,2393,6.797
14875,2394,2395,2.324
14876,2396,2397,16.979
14877,2556,2557,0.511
14878,2558,2559,2.822
14879,2560,2561,6.155
14880,2626,2627,8.426
14881,2628,2629,19.088
14882,2632,2633,3.48
14883,2634,2635,0.86
14884,2636,2637,1.355
14885,2664,2665,4.278
14886,2666,2667,14.609
14887,2668,2669,1.743
14888,2670,2671,1.922
14889,2826,2827,36.046
14890,2828,2829,22.807
14891,2830,2831,6.151
14892,2832,2833,1.746
14893,2834,2835,0.016
14894,2836,2837,2.869
14895,2838,2839,0.453
14896,2840,2841,8.786
14897,2842,2843,2.641
14898,2844,2845,15.411
14899,2846,2847,0.591
14900,2848,2849,18.758
14901,2850,2851,6.494
14902,2852,2853,8.227
14903,2854,2855,7.263
14904,2856,2857,1.725
14905,2858,2859,6.956
14906,2916,2917,1.106
14907,2918,2919,0.258
14908,2920,2921,3.087
14909,2922,2923,0.022
14910,2934,2935,4.657
14911,2958,2959,10.426
14912,2960,2961,16.302
14913,2962,2963,1.705
14914,3354,3355,1.409
14915,3918,3919,6.786
14916,3920,3921,0.021
14917,3922,3923,0.021
14918,3924,3925,4.14
14919,4104,4105,4.044
14920,4128,4129,32.289
14921,4130,4131,1.801
14922,4132,4133,0.311
14923,4134,4135,0.555
14924,4136,4137,4.122
14925,4138,4139,1.514
14926,4140,4141,16.404
14927,4142,4143,2.034
14928,4144,4145,3.993
14929,4146,4147,2.302
14930,4148,4149,1.271
14931,4150,4151,0.864
14932,4152,4153,2.232
14933,4154,4155,1.542
14934,4156,4157,1.702
14935,4158,4159,5.798
14936,4160,4161,6.078
14937,4162,4163,1.849
14938,4164,4165,2.032
14939,4166,4167,1.639
14940,4168,4169,3.192
14941,4170,4171,8.388
14942,4172,4173,11.748
14943,4174,4175,9.194
14944,4246,4247,5.156
14945,4248,4249,10.655
14946,4402,4403,17.698
14947,4490,4491,8.403
14948,4492,4493,3.071
14949,4884,4885,5.847
14950,4926,4927,4.093
14951,4928,4929,2.981
14952,4998,4999,16.768
14953,5000,5001,5.323
14954,5006,5007,22.603
14955,5008,5009,2.773
14956,5010,5011,6.008
14957,5012,5013,0.265
14958,5014,5015,5.496
14959,5022,5023,0.728
14960,5024,5025,4.564
14961,5026,5027,4.517
14962,5032,5033,2.8
14963,5034,5035,3.741
14964,5036,5037,3.958
14965,5038,5039,6.032
14966,5040,5041,2.167
14967,5042,5043,2.53
14968,5044,5045,15.267
14969,5046,5047,3.676
14970,5048,5049,9.238
14971,5050,5051,2.201
14972,5052,5053,0.809
14973,5054,5055,1.471
14974,5056,5057,14.339
14975,5058,5059,1.532
14976,5060,5061,6.791
14977,5062,5063,1.972
14978,5064,5065,0.873
14979,5066,5067,9.115
14980,5068,5069,7.411
14981,5070,5071,12.703
14982,5072,5073,5.877
14983,5074,5075,8.619
14984,5076,5077,5.272
14985,5078,5079,8.417
14986,5084,5085,21.791
14987,5086,5087,0.023
14988,5088,5089,0.794
14989,5090,5091,0.082
14990,5136,5137,2.948
14991,5138,5139,2.857
14992,5140,5141,4.368
14993,5176,5177,2.143
14994,5178,5179,2.15
14995,5180,5181,0.076
14996,5182,5183,0.822
14997,5184,5185,5.156
14998,5186,5187,1.788
14999,5188,5189,7.854
15000,5190,5191,10.543
15001,5214,5215,14.614
15002,5216,5217,1.007
15003,5218,5219,3.881
15004,5320,5321,0.737
15005,5322,5323,0.718
15006,5324,5325,2.763
15007,5326,5327,3.093
15008,5328,5329,1.476
15009,5330,5331,2.56
15010,5332,5333,10.998
15011,5334,5335,2.63
15012,5336,5337,1.196
15013,5338,5339,1.379
15014,5340,5341,1.195
15015,5342,5343,1.498
15016,5344,5345,1.413
15017,5346,5347,0.974
15018,5414,5415,19.997
15019,5416,5417,6.01
15020,5418,5419,8.334
15021,5420,5421,10.488
15022,5422,5423,0.555
15023,5428,5429,15.42
15024,5430,5431,1.734
15025,5432,5433,13.997
15026,5434,5435,1.358
15027,5442,5443,2.226
15028,5472,5473,2.171
15029,5476,5477,0.928
15030,5478,5479,0.43
15031,5480,5481,0.843
15032,5496,5497,2.749
15033,5538,5539,5.181
15034,5540,5541,4.451
15035,5542,5543,2.454
15036,5544,5545,0.669
15037,5546,5547,5.93
15038,5554,5555,5.319
15039,5610,5611,19.194
15040,5612,5613,2.569
15041,5614,5615,3.813
15042,5616,5617,11.769
15043,5618,5619,8.942
15044,5620,5621,3.808
15045,5728,5729,1.907
15046,5870,5871,0.758
15047,5872,5873,1.683
15048,5894,5895,2.891
15049,5896,5897,1.433
15050,5898,5899,13.154
15051,5900,5901,6.008
15052,5902,5903,8.229
15053,5904,5905,7.306
15054,5906,5907,4.316
15055,5908,5909,3.139
15056,5910,5911,1.65
15057,5912,5913,3.269
15058,6070,6071,0.957
15059,6072,6073,0.503
15060,6074,6075,5.391
15061,6076,6077,3.396
15062,6078,6079,6.999
15063,6160,6161,0.233
15064,6444,6445,22.616
15065,6446,6447,9.048
15066,6470,6471,24.258
15067,6472,6473,7.721
15068,6474,6475,2.723
15069,6476,6477,4.858
15070,6478,6479,7.264
