,from_node,to_node,edge_tt
19649,11644,11645,7.077
19650,11646,11647,1.702
19651,11648,11649,2.248
19652,11650,11651,2.813
19653,11652,11653,6.33
19654,11658,11659,4.256
19655,11660,11661,0.013
19656,11678,11679,7.869
19657,11680,11681,8.268
19658,11682,11683,2.2
19659,11684,11685,0.153
19660,11750,11751,6.908
19661,11752,11753,5.091
19662,11754,11755,0.174
19663,11756,11757,4.664
19664,11854,11855,1.665
19665,11856,11857,2.233
19666,11912,11913,2.009
19667,11914,11915,1.057
19668,11980,11981,1.903
19669,11982,11983,5.152
19670,11984,11985,3.867
19671,11988,11989,6.87
19672,11990,11991,7.737
19673,11992,11993,6.28
19674,11994,11995,2.008
19675,11996,11997,4.774
19676,11998,11999,2.334
19677,12000,12001,1.136
19678,12002,12003,1.406
19679,12004,12005,5.048
19680,12006,12007,5.404
19681,12008,12009,1.54
19682,12010,12011,7.457
19683,12012,12013,2.619
19684,12014,12015,2.03
19685,12016,12017,1.302
19686,12018,12019,6.689
19687,12020,12021,1.709
19688,12022,12023,3.717
19689,12024,12025,6.581
19690,12028,12029,4.698
19691,12030,12031,1.578
19692,12032,12033,1.499
19693,12034,12035,4.985
19694,12122,12123,1.553
19695,12124,12125,2.076
19696,12126,12127,6.877
19697,12128,12129,3.922
19698,12130,12131,1.894
19699,12132,12133,0.191
19700,12134,12135,7.018
19701,12136,12137,0.254
19702,12138,12139,10.76
19703,12140,12141,2.033
19704,12142,12143,3.55
19705,12152,12153,6.89
19706,12154,12155,0.176
19707,12156,12157,3.309
19708,12158,12159,0.812
19709,12160,12161,0.39
19710,12164,12165,1.893
19711,12166,12167,0.123
19712,12168,12169,0.449
19713,12170,12171,7.042
19714,12172,12173,23.402
19715,12174,12175,6.391
19716,12176,12177,0.383
19717,12178,12179,3.35
19718,12180,12181,1.633
19719,12182,12183,3.081
19720,12184,12185,1.697
19721,12186,12187,6.921
19722,12194,12195,1.217
19723,12238,12239,0.028
19724,12264,12265,5.018
19725,12446,12447,2.947
19726,12448,12449,3.896
19727,12450,12451,2.712
19728,12452,12453,11.128
19729,12454,12455,6.78
19730,12456,12457,4.002
19731,12538,12539,0.363
19732,12572,12573,29.375
19733,12574,12575,0.226
19734,12576,12577,4.613
19735,12592,12593,1.945
19736,12594,12595,0.905
19737,12596,12597,3.729
19738,12598,12599,1.358
19739,12600,12601,2.502
19740,12602,12603,1.322
19741,12604,12605,6.754
19742,12606,12607,7.755
19743,12608,12609,2.338
19744,12610,12611,3.584
19745,12612,12613,4.801
19746,12614,12615,0.062
19747,12616,12617,3.756
19748,12618,12619,1.306
19749,12620,12621,3.724
19750,12624,12625,19.603
19751,12626,12627,2.387
19752,12754,12755,1.001
19753,12758,12759,1.503
19754,12760,12761,4.036
19755,13152,13153,1.255
19756,13154,13155,5.444
19757,13156,13157,6.134
19758,13298,13299,0.68
19759,13300,13301,2.597
19760,13302,13303,3.225
19761,13304,13305,7.693
19762,13306,13307,1.942
19763,13308,13309,7.461
19764,13540,13541,8.657
19765,13578,13579,2.216
19766,13580,13581,7.877
19767,13610,13611,3.514
19768,13612,13613,10.823
19769,13896,13897,10.708
19770,13898,13899,5.58
19771,14028,14029,4.031
19772,14030,14031,5.441
19773,14032,14033,4.077
19774,14034,14035,4.889
19775,14084,14085,1.921
19776,14106,14107,41.028
19777,14108,14109,3.169
19778,14110,14111,13.551
19779,14112,14113,2.024
19780,14114,14115,0.366
19781,14118,14119,1.154
19782,14120,14121,4.985
19783,14122,14123,46.027
19784,14124,14125,3.62
19785,14126,14127,2.539
19786,14128,14129,7.019
19787,14130,14131,11.018
19788,14144,14145,2.083
19789,14150,14151,3.976
19790,14158,14159,1.666
19791,14160,14161,2.287
19792,14162,14163,3.988
19793,14168,14169,1.361
19794,14170,14171,0.615
19795,14172,14173,0.794
19796,14174,14175,1.681
19797,14176,14177,6.99
19798,14178,14179,8.418
19799,14180,14181,9.937
19800,14182,14183,7.561
19801,14214,14215,0.72
19802,14216,14217,9.474
19803,14218,14219,2.92
19804,14254,14255,20.069
19805,14256,14257,4.16
19806,14258,14259,19.575
19807,14260,14261,1.854
19808,14262,14263,2.5
19809,14302,14303,3.837
19810,14304,14305,7.322
19811,14306,14307,1.58
19812,14308,14309,0.094
19813,14310,14311,6.01
19814,14312,14313,1.585
19815,14404,14405,4.271
19816,14406,14407,1.427
19817,14432,14433,1.875
19818,14474,14475,0.963
19819,14476,14477,4.931
19820,14550,14551,2.158
19821,14552,14553,5.575
19822,14586,14587,5.149
19823,14588,14589,3.194
19824,14590,14591,0.763
19825,14592,14593,0.026
19826,14728,14729,4.066
19827,14868,14869,6.681
19828,14870,14871,5.282
19829,14872,14873,2.712
19830,14874,14875,2.788
19831,14876,14877,4.425
19832,14906,14907,10.072
19833,14908,14909,4.405
19834,14910,14911,1.924
19835,14912,14913,422.072
19836,14950,14951,21.963
19837,14964,14965,13.76
19838,14966,14967,12.359
19839,15224,15225,25.947
19840,15226,15227,5.949
19841,15228,15229,4.926
19842,15230,15231,4.275
19843,15232,15233,1.917
19844,15234,15235,2.94
19845,15354,15355,0.842
19846,15358,15359,2.298
19847,15364,15365,9.871
19848,15366,15367,1.181
19849,15368,15369,0.227
19850,15486,15487,13.049
19851,15488,15489,4.063
19852,15490,15491,0.502
19853,15494,15495,12.372
19854,15496,15497,5.144
19855,15512,15513,3.776
19856,15514,15515,0.533
19857,15516,15517,1.517
19858,15518,15519,6.669
19859,15580,15581,2.467
19860,15582,15583,13.395
19861,15584,15585,6.933
19862,15586,15587,13.741
19863,15588,15589,1.812
19864,15590,15591,6.213
19865,15592,15593,3.606
19866,15594,15595,13.665
19867,15596,15597,3.838
19868,15598,15599,3.935
19869,15622,15623,9.534
19870,15624,15625,0.424
19871,15626,15627,2.593
19872,15628,15629,11.632
19873,15630,15631,11.095
19874,15710,15711,3.07
19875,15712,15713,4.001
19876,15714,15715,0.262
19877,15722,15723,3.167
19878,15724,15725,2.784
19879,15726,15727,0.275
19880,15728,15729,0.565
19881,15730,15731,4.508
19882,15732,15733,9.704
19883,15734,15735,5.451
19884,15736,15737,2.999
19885,15738,15739,2.149
19886,15740,15741,0.156
19887,15742,15743,1.294
19888,15744,15745,4.679
19889,15748,15749,8.196
19890,15752,15753,6.195
19891,15754,15755,7.134
19892,15904,15905,3.308
19893,15906,15907,0.588
19894,15908,15909,1.896
19895,15910,15911,4.647
19896,15912,15913,0.073
19897,15916,15917,11.917
19898,15934,15935,2.577
19899,15936,15937,3.012
19900,15944,15945,2.564
19901,15946,15947,4.11
19902,15972,15973,6.038
19903,15978,15979,6.343
19904,15980,15981,1.525
19905,15982,15983,3.756
19906,15984,15985,23.66
19907,15986,15987,1.252
19908,15988,15989,24.817
19909,15990,15991,5.94
19910,15992,15993,4.895
19911,15994,15995,44.313
19912,16066,16067,1.034
19913,16074,16075,18.256
19914,16076,16077,19.529
19915,16078,16079,6.769
19916,16080,16081,11.254
19917,16204,16205,1.5
19918,16206,16207,4.867
19919,16208,16209,3.643
19920,16210,16211,0.739
19921,16218,16219,4.147
19922,16234,16235,0.786
19923,16274,16275,1.432
19924,16284,16285,0.87
19925,16290,16291,5.013
19926,16292,16293,8.426
19927,16294,16295,1.721
19928,16296,16297,16.688
19929,16298,16299,38.623
19930,16314,16315,1.436
19931,16344,16345,11.774
19932,16346,16347,4.484
19933,16348,16349,7.076
19934,16350,16351,5.904
19935,16394,16395,8.264
19936,16500,16501,2.737
19937,16522,16523,13.008
19938,16524,16525,2.299
19939,16544,16545,13.786
19940,16566,16567,4.901
19941,16654,16655,3.731
19942,16656,16657,0.498
19943,16658,16659,13.226
19944,16660,16661,23.133
19945,16690,16691,0.957
19946,16692,16693,3.291
19947,16694,16695,1.041
19948,16696,16697,14.002
19949,16698,16699,4.488
19950,16700,16701,1.972
19951,16702,16703,3.277
19952,16704,16705,0.901
19953,16706,16707,3.083
19954,16900,16901,1.042
19955,16926,16927,5.962
19956,16944,16945,1.86
19957,16946,16947,0.239
19958,16952,16953,5.597
19959,16954,16955,2.315
19960,16956,16957,6.54
19961,16958,16959,6.032
19962,16960,16961,3.414
19963,17038,17039,5.589
19964,17040,17041,11.659
19965,17042,17043,6.107
19966,17126,17127,23.7
19967,17134,17135,5.438
19968,17150,17151,1.428
19969,17154,17155,4.883
19970,17204,17205,0.821
19971,17232,17233,4.337
19972,17234,17235,2.796
19973,17236,17237,3.078
19974,17238,17239,3.581
19975,17240,17241,1.402
19976,17242,17243,4.3
19977,17244,17245,2.075
19978,17250,17251,1.475
19979,17256,17257,5.945
19980,17264,17265,3.114
19981,17266,17267,1.362
19982,17268,17269,1.792
19983,17270,17271,4.871
19984,17272,17273,0.826
19985,17286,17287,2.538
19986,17288,17289,3.424
19987,17290,17291,1.992
19988,17352,17353,20.235
19989,17870,17871,23.989
19990,17872,17873,4.846
19991,17874,17875,4.313
19992,17884,17885,3.131
19993,17886,17887,0.344
19994,18008,18009,2.534
19995,18010,18011,5.174
19996,18012,18013,1.215
19997,18014,18015,3.331
19998,18016,18017,20.121
19999,18018,18019,4.177
20000,18020,18021,4.596
20001,18026,18027,2.499
20002,18028,18029,0.846
20003,18046,18047,6.532
20004,18048,18049,2.6
20005,18050,18051,5.05
20006,18052,18053,2.608
20007,18054,18055,0.684
20008,18266,18267,9.904
20009,18268,18269,4.682
20010,18478,18479,26.307
20011,18480,18481,16.707
20012,18482,18483,3.311
20013,18484,18485,1.528
20014,18486,18487,94.292
20015,18488,18489,11.771
20016,18632,18633,1.309
20017,19140,19141,4.043
20018,19144,19145,0.697
20019,19166,19167,1.846
20020,19168,19169,4.081
20021,19170,19171,1.874
20022,19172,19173,15.289
20023,19174,19175,0.953
20024,19176,19177,2.881
20025,19178,19179,2.535
20026,19284,19285,4.439
20027,19286,19287,2.743
20028,19306,19307,8.477
20029,19460,19461,8.925
20030,19592,19593,4.734
20031,19594,19595,48.0
20032,19676,19677,7.19
20033,19678,19679,6.813
20034,19680,19681,2.505
20035,19682,19683,21.575
20036,19684,19685,4.577
20037,19686,19687,1.927
20038,19690,19691,22.106
20039,19694,19695,4.109
20040,19700,19701,0.428
20041,19702,19703,1.174
20042,19704,19705,0.599
20043,19706,19707,1.289
20044,19708,19709,9.214
20045,19710,19711,4.005
20046,19714,19715,2.606
20047,19716,19717,4.625
20048,19758,19759,5.338
20049,19760,19761,14.771
20050,19762,19763,4.919
20051,19780,19781,8.617
20052,19794,19795,0.428
20053,19796,19797,1.167
20054,19798,19799,5.821
20055,19800,19801,1.184
20056,19808,19809,71.041
20057,19812,19813,8.568
20058,19816,19817,4.422
20059,19818,19819,8.942
